# LAMMPS data file written by OVITO Basic 3.13.0

108 atoms
1 atom types

10.8637857437 0.0 0.0 avec
0.0 10.8637857437 0.0 bvec
0.0 0.0 10.8637857437 cvec
0.0 0.0 0.0 abc origin

Masses

1 63.546  # Cu

Atoms  # atomic

1 1 0.0 0.0 0.0
2 1 0.0 0.0 3.6212620196
3 1 0.0 0.0 7.24252405
4 1 0.0 3.6212620196 0.0
5 1 0.0 3.6212620196 3.6212620196
6 1 0.0 3.6212620196 7.24252405
7 1 0.0 7.24252405 0.0
8 1 0.0 7.24252405 3.6212620196
9 1 0.0 7.24252405 7.24252405
10 1 3.6212620196 0.0 0.0
11 1 3.6212620196 0.0 3.6212620196
12 1 3.6212620196 0.0 7.24252405
13 1 3.6212620196 3.6212620196 0.0
14 1 3.6212620196 3.6212620196 3.6212620196
15 1 3.6212620196 3.6212620196 7.24252405
16 1 3.6212620196 7.24252405 0.0
17 1 3.6212620196 7.24252405 3.6212620196
18 1 3.6212620196 7.24252405 7.24252405
19 1 7.24252405 0.0 0.0
20 1 7.24252405 0.0 3.6212620196
21 1 7.24252405 0.0 7.24252405
22 1 7.24252405 3.6212620196 0.0
23 1 7.24252405 3.6212620196 3.6212620196
24 1 7.24252405 3.6212620196 7.24252405
25 1 7.24252405 7.24252405 0.0
26 1 7.24252405 7.24252405 3.6212620196
27 1 7.24252405 7.24252405 7.24252405
28 1 0.0 1.8106310152 1.8106310152
29 1 0.0 1.8106310152 5.4318928718
30 1 0.0 1.8106310152 9.0531545655
31 1 0.0 5.4318928718 1.8106310152
32 1 0.0 5.4318928718 5.4318928718
33 1 0.0 5.4318928718 9.0531545655
34 1 0.0 9.0531545655 1.8106310152
35 1 0.0 9.0531545655 5.4318928718
36 1 0.0 9.0531545655 9.0531545655
37 1 3.6212620196 1.8106310152 1.8106310152
38 1 3.6212620196 1.8106310152 5.4318928718
39 1 3.6212620196 1.8106310152 9.0531545655
40 1 3.6212620196 5.4318928718 1.8106310152
41 1 3.6212620196 5.4318928718 5.4318928718
42 1 3.6212620196 5.4318928718 9.0531545655
43 1 3.6212620196 9.0531545655 1.8106310152
44 1 3.6212620196 9.0531545655 5.4318928718
45 1 3.6212620196 9.0531545655 9.0531545655
46 1 7.24252405 1.8106310152 1.8106310152
47 1 7.24252405 1.8106310152 5.4318928718
48 1 7.24252405 1.8106310152 9.0531545655
49 1 7.24252405 5.4318928718 1.8106310152
50 1 7.24252405 5.4318928718 5.4318928718
51 1 7.24252405 5.4318928718 9.0531545655
52 1 7.24252405 9.0531545655 1.8106310152
53 1 7.24252405 9.0531545655 5.4318928718
54 1 7.24252405 9.0531545655 9.0531545655
55 1 1.8106310152 0.0 1.8106310152
56 1 1.8106310152 0.0 5.4318928718
57 1 1.8106310152 0.0 9.0531545655
58 1 1.8106310152 3.6212620196 1.8106310152
59 1 1.8106310152 3.6212620196 5.4318928718
60 1 1.8106310152 3.6212620196 9.0531545655
61 1 1.8106310152 7.24252405 1.8106310152
62 1 1.8106310152 7.24252405 5.4318928718
63 1 1.8106310152 7.24252405 9.0531545655
64 1 5.4318928718 0.0 1.8106310152
65 1 5.4318928718 0.0 5.4318928718
66 1 5.4318928718 0.0 9.0531545655
67 1 5.4318928718 3.6212620196 1.8106310152
68 1 5.4318928718 3.6212620196 5.4318928718
69 1 5.4318928718 3.6212620196 9.0531545655
70 1 5.4318928718 7.24252405 1.8106310152
71 1 5.4318928718 7.24252405 5.4318928718
72 1 5.4318928718 7.24252405 9.0531545655
73 1 9.0531545655 0.0 1.8106310152
74 1 9.0531545655 0.0 5.4318928718
75 1 9.0531545655 0.0 9.0531545655
76 1 9.0531545655 3.6212620196 1.8106310152
77 1 9.0531545655 3.6212620196 5.4318928718
78 1 9.0531545655 3.6212620196 9.0531545655
79 1 9.0531545655 7.24252405 1.8106310152
80 1 9.0531545655 7.24252405 5.4318928718
81 1 9.0531545655 7.24252405 9.0531545655
82 1 1.8106310152 1.8106310152 0.0
83 1 1.8106310152 1.8106310152 3.6212620196
84 1 1.8106310152 1.8106310152 7.24252405
85 1 1.8106310152 5.4318928718 0.0
86 1 1.8106310152 5.4318928718 3.6212620196
87 1 1.8106310152 5.4318928718 7.24252405
88 1 1.8106310152 9.0531545655 0.0
89 1 1.8106310152 9.0531545655 3.6212620196
90 1 1.8106310152 9.0531545655 7.24252405
91 1 5.4318928718 1.8106310152 0.0
92 1 5.4318928718 1.8106310152 3.6212620196
93 1 5.4318928718 1.8106310152 7.24252405
94 1 5.4318928718 5.4318928718 0.0
95 1 5.4318928718 5.4318928718 3.6212620196
96 1 5.4318928718 5.4318928718 7.24252405
97 1 5.4318928718 9.0531545655 0.0
98 1 5.4318928718 9.0531545655 3.6212620196
99 1 5.4318928718 9.0531545655 7.24252405
100 1 9.0531545655 1.8106310152 0.0
101 1 9.0531545655 1.8106310152 3.6212620196
102 1 9.0531545655 1.8106310152 7.24252405
103 1 9.0531545655 5.4318928718 0.0
104 1 9.0531545655 5.4318928718 3.6212620196
105 1 9.0531545655 5.4318928718 7.24252405
106 1 9.0531545655 9.0531545655 0.0
107 1 9.0531545655 9.0531545655 3.6212620196
108 1 9.0531545655 9.0531545655 7.24252405
